rl	V(v2s)	I(Rl)
4.011000000000030e+01	5.014263e+00	1.250128e-01
4.021000000000031e+01	5.014263e+00	1.247019e-01
4.031000000000031e+01	5.014263e+00	1.243925e-01
4.041000000000031e+01	5.014263e+00	1.240847e-01
4.051000000000031e+01	5.014264e+00	1.237784e-01
4.061000000000031e+01	5.014264e+00	1.234736e-01
4.071000000000031e+01	5.014264e+00	1.231703e-01
4.081000000000031e+01	5.014264e+00	1.228685e-01
4.091000000000032e+01	5.014264e+00	1.225682e-01
4.101000000000032e+01	5.014265e+00	1.222693e-01
4.111000000000032e+01	5.014265e+00	1.219719e-01
4.121000000000032e+01	5.014265e+00	1.216759e-01
4.131000000000032e+01	5.014265e+00	1.213814e-01
4.141000000000032e+01	5.014265e+00	1.210883e-01
4.151000000000032e+01	5.014266e+00	1.207966e-01
4.161000000000033e+01	5.014266e+00	1.205063e-01
4.171000000000033e+01	5.014266e+00	1.202174e-01
4.181000000000033e+01	5.014266e+00	1.199298e-01
4.191000000000033e+01	5.014266e+00	1.196437e-01
4.201000000000033e+01	5.014266e+00	1.193589e-01
4.211000000000033e+01	5.014266e+00	1.190754e-01
4.221000000000033e+01	5.014267e+00	1.187933e-01
4.231000000000034e+01	5.014267e+00	1.185126e-01
4.241000000000034e+01	5.014267e+00	1.182331e-01
4.251000000000034e+01	5.014267e+00	1.179550e-01
4.261000000000034e+01	5.014267e+00	1.176782e-01
4.271000000000034e+01	5.014268e+00	1.174027e-01
4.281000000000034e+01	5.014268e+00	1.171284e-01
4.291000000000034e+01	5.014268e+00	1.168555e-01
4.301000000000035e+01	5.014268e+00	1.165838e-01
4.311000000000035e+01	5.014268e+00	1.163133e-01
4.321000000000035e+01	5.014269e+00	1.160442e-01
4.331000000000035e+01	5.014269e+00	1.157762e-01
4.341000000000035e+01	5.014269e+00	1.155095e-01
4.351000000000035e+01	5.014269e+00	1.152441e-01
4.361000000000035e+01	5.014269e+00	1.149798e-01
4.371000000000036e+01	5.014269e+00	1.147168e-01
4.381000000000036e+01	5.014270e+00	1.144549e-01
4.391000000000036e+01	5.014270e+00	1.141943e-01
4.401000000000036e+01	5.014270e+00	1.139348e-01
4.411000000000036e+01	5.014270e+00	1.136765e-01
4.421000000000036e+01	5.014270e+00	1.134194e-01
4.431000000000036e+01	5.014271e+00	1.131634e-01
4.441000000000037e+01	5.014271e+00	1.129086e-01
4.451000000000037e+01	5.014271e+00	1.126549e-01
4.461000000000037e+01	5.014271e+00	1.124024e-01
4.471000000000037e+01	5.014271e+00	1.121510e-01
4.481000000000037e+01	5.014272e+00	1.119007e-01
4.491000000000037e+01	5.014272e+00	1.116516e-01
4.501000000000037e+01	5.014272e+00	1.114035e-01
4.511000000000038e+01	5.014272e+00	1.111566e-01
4.521000000000038e+01	5.014272e+00	1.109107e-01
4.531000000000038e+01	5.014272e+00	1.106659e-01
4.541000000000038e+01	5.014273e+00	1.104222e-01
4.551000000000038e+01	5.014273e+00	1.101796e-01
4.561000000000038e+01	5.014273e+00	1.099380e-01
4.571000000000038e+01	5.014273e+00	1.096975e-01
4.581000000000039e+01	5.014273e+00	1.094581e-01
4.591000000000039e+01	5.014273e+00	1.092196e-01
4.601000000000039e+01	5.014274e+00	1.089823e-01
4.611000000000039e+01	5.014274e+00	1.087459e-01
4.621000000000039e+01	5.014274e+00	1.085106e-01
4.631000000000039e+01	5.014274e+00	1.082763e-01
4.641000000000039e+01	5.014274e+00	1.080430e-01
4.651000000000040e+01	5.014275e+00	1.078107e-01
4.661000000000040e+01	5.014275e+00	1.075794e-01
4.671000000000040e+01	5.014275e+00	1.073491e-01
4.681000000000040e+01	5.014275e+00	1.071197e-01
4.691000000000040e+01	5.014275e+00	1.068914e-01
4.701000000000040e+01	5.014275e+00	1.066640e-01
4.711000000000040e+01	5.014276e+00	1.064376e-01
4.721000000000041e+01	5.014276e+00	1.062121e-01
4.731000000000041e+01	5.014276e+00	1.059876e-01
4.741000000000041e+01	5.014276e+00	1.057641e-01
4.751000000000041e+01	5.014276e+00	1.055415e-01
4.761000000000041e+01	5.014276e+00	1.053198e-01
4.771000000000041e+01	5.014277e+00	1.050991e-01
4.781000000000041e+01	5.014277e+00	1.048792e-01
4.791000000000042e+01	5.014277e+00	1.046603e-01
4.801000000000042e+01	5.014277e+00	1.044423e-01
4.811000000000042e+01	5.014277e+00	1.042253e-01
4.821000000000042e+01	5.014277e+00	1.040091e-01
4.831000000000042e+01	5.014277e+00	1.037938e-01
4.841000000000042e+01	5.014277e+00	1.035794e-01
4.851000000000042e+01	5.014277e+00	1.033659e-01
4.861000000000043e+01	5.014277e+00	1.031532e-01
4.871000000000043e+01	5.014278e+00	1.029414e-01
4.881000000000043e+01	5.014278e+00	1.027305e-01
4.891000000000043e+01	5.014278e+00	1.025205e-01
4.901000000000043e+01	5.014278e+00	1.023113e-01
4.911000000000043e+01	5.014278e+00	1.021030e-01
4.921000000000043e+01	5.014278e+00	1.018955e-01
4.931000000000044e+01	5.014279e+00	1.016889e-01
4.941000000000044e+01	5.014279e+00	1.014831e-01
4.951000000000044e+01	5.014279e+00	1.012781e-01
4.961000000000044e+01	5.014279e+00	1.010740e-01
4.971000000000044e+01	5.014279e+00	1.008706e-01
4.981000000000044e+01	5.014279e+00	1.006681e-01
4.991000000000044e+01	5.014280e+00	1.004664e-01
5.000000000000000e+01	5.014280e+00	1.002856e-01
