vin	-100*((V(V2s)*I(RL))/(V(Vpos)*I(VIN)))
6.371300000000108e+00	7.537689e+01
6.371600000000108e+00	7.537321e+01
6.371900000000108e+00	7.536952e+01
6.372200000000109e+00	7.536585e+01
6.372500000000109e+00	7.536217e+01
6.372800000000109e+00	7.535849e+01
6.373100000000109e+00	7.535481e+01
6.373400000000109e+00	7.535112e+01
6.373700000000110e+00	7.534745e+01
6.374000000000110e+00	7.534377e+01
6.374300000000110e+00	7.534009e+01
6.374600000000110e+00	7.533642e+01
6.374900000000110e+00	7.533273e+01
6.375200000000111e+00	7.532906e+01
6.375500000000111e+00	7.532538e+01
6.375800000000111e+00	7.532171e+01
6.376100000000111e+00	7.531802e+01
6.376400000000111e+00	7.531435e+01
6.376700000000112e+00	7.531068e+01
6.377000000000112e+00	7.530701e+01
6.377300000000112e+00	7.530333e+01
6.377600000000112e+00	7.529965e+01
6.377900000000112e+00	7.529598e+01
6.378200000000112e+00	7.529230e+01
6.378500000000113e+00	7.528863e+01
6.378800000000113e+00	7.528497e+01
6.379100000000113e+00	7.528129e+01
6.379400000000113e+00	7.527762e+01
6.379700000000113e+00	7.527393e+01
6.380000000000114e+00	7.527026e+01
6.380300000000114e+00	7.526660e+01
6.380600000000114e+00	7.526292e+01
6.380900000000114e+00	7.525926e+01
6.381200000000114e+00	7.525559e+01
6.381500000000115e+00	7.525192e+01
6.381800000000115e+00	7.524825e+01
6.382100000000115e+00	7.524457e+01
6.382400000000115e+00	7.524090e+01
6.382700000000115e+00	7.523723e+01
6.383000000000115e+00	7.523357e+01
6.383300000000116e+00	7.522990e+01
6.383600000000116e+00	7.522624e+01
6.383900000000116e+00	7.522257e+01
6.384200000000116e+00	7.521889e+01
6.384500000000116e+00	7.521523e+01
6.384800000000117e+00	7.521156e+01
6.385100000000117e+00	7.520791e+01
6.385400000000117e+00	7.520424e+01
6.385700000000117e+00	7.520057e+01
6.386000000000117e+00	7.519690e+01
6.386300000000118e+00	7.519323e+01
6.386600000000118e+00	7.518957e+01
6.386900000000118e+00	7.518591e+01
6.387200000000118e+00	7.518226e+01
6.387500000000118e+00	7.517859e+01
6.387800000000118e+00	7.517492e+01
6.388100000000119e+00	7.517126e+01
6.388400000000119e+00	7.516760e+01
6.388700000000119e+00	7.516394e+01
6.389000000000119e+00	7.516027e+01
6.389300000000119e+00	7.515661e+01
6.389600000000120e+00	7.515295e+01
6.389900000000120e+00	7.514928e+01
6.390200000000120e+00	7.514563e+01
6.390500000000120e+00	7.514197e+01
6.390800000000120e+00	7.513831e+01
6.391100000000121e+00	7.513465e+01
6.391400000000121e+00	7.513099e+01
6.391700000000121e+00	7.512735e+01
6.392000000000121e+00	7.512368e+01
6.392300000000121e+00	7.512002e+01
6.392600000000122e+00	7.511636e+01
6.392900000000122e+00	7.511270e+01
6.393200000000122e+00	7.510904e+01
6.393500000000122e+00	7.510540e+01
6.393800000000122e+00	7.510174e+01
6.394100000000122e+00	7.509808e+01
6.394400000000123e+00	7.509443e+01
6.394700000000123e+00	7.509077e+01
6.395000000000123e+00	7.508712e+01
6.395300000000123e+00	7.508346e+01
6.395600000000123e+00	7.507980e+01
6.395900000000124e+00	7.507616e+01
6.396200000000124e+00	7.507250e+01
6.396500000000124e+00	7.506885e+01
6.396800000000124e+00	7.506520e+01
6.397100000000124e+00	7.506155e+01
6.397400000000125e+00	7.505789e+01
6.397700000000125e+00	7.505423e+01
6.398000000000125e+00	7.505059e+01
6.398300000000125e+00	7.504694e+01
6.398600000000125e+00	7.504329e+01
6.398900000000125e+00	7.503964e+01
6.399200000000126e+00	7.503599e+01
6.399500000000126e+00	7.503234e+01
6.399800000000126e+00	7.502868e+01
6.400100000000126e+00	7.502504e+01
6.400400000000126e+00	7.502139e+01
6.400700000000127e+00	7.501775e+01
6.401000000000127e+00	7.501409e+01
6.401300000000127e+00	7.501045e+01
6.401600000000127e+00	7.500681e+01
6.401900000000127e+00	7.500315e+01
6.402200000000128e+00	7.499950e+01
