rl	V(v2s)	I(Rl)
3.271000000000020e+01	3.318069e+00	1.014390e-01
3.281000000000020e+01	3.318069e+00	1.011298e-01
3.291000000000020e+01	3.318069e+00	1.008225e-01
3.301000000000020e+01	3.318069e+00	1.005171e-01
3.311000000000021e+01	3.318069e+00	1.002135e-01
3.321000000000021e+01	3.318069e+00	9.991175e-02
3.331000000000021e+01	3.318069e+00	9.961181e-02
3.341000000000021e+01	3.318069e+00	9.931366e-02
3.351000000000021e+01	3.318070e+00	9.901730e-02
3.361000000000021e+01	3.318070e+00	9.872270e-02
3.371000000000021e+01	3.318070e+00	9.842984e-02
3.381000000000022e+01	3.318070e+00	9.813872e-02
3.391000000000022e+01	3.318070e+00	9.784931e-02
3.401000000000022e+01	3.318070e+00	9.756161e-02
3.411000000000022e+01	3.318070e+00	9.727559e-02
3.421000000000022e+01	3.318071e+00	9.699125e-02
3.431000000000022e+01	3.318071e+00	9.670856e-02
3.441000000000022e+01	3.318071e+00	9.642752e-02
3.451000000000023e+01	3.318071e+00	9.614810e-02
3.461000000000023e+01	3.318071e+00	9.587030e-02
3.471000000000023e+01	3.318071e+00	9.559410e-02
3.481000000000023e+01	3.318071e+00	9.531949e-02
3.491000000000023e+01	3.318072e+00	9.504645e-02
3.501000000000023e+01	3.318072e+00	9.477497e-02
3.511000000000023e+01	3.318072e+00	9.450503e-02
3.521000000000024e+01	3.318072e+00	9.423663e-02
3.531000000000024e+01	3.318072e+00	9.396975e-02
3.541000000000024e+01	3.318072e+00	9.370439e-02
3.551000000000024e+01	3.318072e+00	9.344050e-02
3.561000000000024e+01	3.318073e+00	9.317811e-02
3.571000000000024e+01	3.318073e+00	9.291718e-02
3.581000000000024e+01	3.318073e+00	9.265772e-02
3.591000000000025e+01	3.318073e+00	9.239969e-02
3.601000000000025e+01	3.318073e+00	9.214310e-02
3.611000000000025e+01	3.318073e+00	9.188793e-02
3.621000000000025e+01	3.318073e+00	9.163417e-02
3.631000000000025e+01	3.318074e+00	9.138181e-02
3.641000000000025e+01	3.318074e+00	9.113083e-02
3.651000000000025e+01	3.318074e+00	9.088123e-02
3.661000000000026e+01	3.318074e+00	9.063299e-02
3.671000000000026e+01	3.318074e+00	9.038611e-02
3.681000000000026e+01	3.318074e+00	9.014056e-02
3.691000000000026e+01	3.318074e+00	8.989635e-02
3.701000000000026e+01	3.318074e+00	8.965345e-02
3.711000000000026e+01	3.318074e+00	8.941187e-02
3.721000000000026e+01	3.318074e+00	8.917158e-02
3.731000000000027e+01	3.318075e+00	8.893258e-02
3.741000000000027e+01	3.318075e+00	8.869486e-02
3.751000000000027e+01	3.318075e+00	8.845841e-02
3.761000000000027e+01	3.318075e+00	8.822321e-02
