vin	-100*((V(V2s)*I(RL))/(V(Vpos)*I(VIN)))
6.333200000000084e+00	4.934457e+01
6.333500000000084e+00	4.934209e+01
6.333800000000084e+00	4.933963e+01
6.334100000000085e+00	4.933716e+01
6.334400000000085e+00	4.933469e+01
6.334700000000085e+00	4.933223e+01
6.335000000000085e+00	4.932977e+01
6.335300000000085e+00	4.932730e+01
6.335600000000086e+00	4.932484e+01
6.335900000000086e+00	4.932237e+01
6.336200000000086e+00	4.931990e+01
6.336500000000086e+00	4.931744e+01
6.336800000000086e+00	4.931498e+01
6.337100000000087e+00	4.931251e+01
6.337400000000087e+00	4.931005e+01
6.337700000000087e+00	4.930759e+01
6.338000000000087e+00	4.930513e+01
6.338300000000087e+00	4.930266e+01
6.338600000000087e+00	4.930020e+01
6.338900000000088e+00	4.929774e+01
6.339200000000088e+00	4.929527e+01
6.339500000000088e+00	4.929281e+01
6.339800000000088e+00	4.929035e+01
6.340100000000088e+00	4.928789e+01
6.340400000000089e+00	4.928543e+01
6.340700000000089e+00	4.928297e+01
6.341000000000089e+00	4.928051e+01
6.341300000000089e+00	4.927804e+01
6.341600000000089e+00	4.927558e+01
6.341900000000090e+00	4.927313e+01
6.342200000000090e+00	4.927066e+01
6.342500000000090e+00	4.926820e+01
6.342800000000090e+00	4.926575e+01
6.343100000000090e+00	4.926329e+01
6.343400000000091e+00	4.926083e+01
6.343700000000091e+00	4.925837e+01
6.344000000000091e+00	4.925591e+01
6.344300000000091e+00	4.925345e+01
6.344600000000091e+00	4.925100e+01
6.344900000000091e+00	4.924853e+01
6.345200000000092e+00	4.924608e+01
6.345500000000092e+00	4.924363e+01
6.345800000000092e+00	4.924117e+01
6.346100000000092e+00	4.923871e+01
6.346400000000092e+00	4.923626e+01
6.346700000000093e+00	4.923379e+01
6.347000000000093e+00	4.923134e+01
6.347300000000093e+00	4.922888e+01
6.347600000000093e+00	4.922643e+01
6.347900000000093e+00	4.922398e+01
6.348200000000094e+00	4.922152e+01
6.348500000000094e+00	4.921906e+01
6.348800000000094e+00	4.921661e+01
6.349100000000094e+00	4.921415e+01
6.349400000000094e+00	4.921170e+01
6.349700000000094e+00	4.920924e+01
6.350000000000095e+00	4.920679e+01
6.350300000000095e+00	4.920434e+01
6.350600000000095e+00	4.920189e+01
6.350900000000095e+00	4.919943e+01
6.351200000000095e+00	4.919698e+01
6.351500000000096e+00	4.919453e+01
6.351800000000096e+00	4.919207e+01
6.352100000000096e+00	4.918962e+01
6.352400000000096e+00	4.918718e+01
6.352700000000096e+00	4.918472e+01
6.353000000000097e+00	4.918227e+01
6.353300000000097e+00	4.917982e+01
6.353600000000097e+00	4.917736e+01
6.353900000000097e+00	4.917492e+01
6.354200000000097e+00	4.917246e+01
6.354500000000098e+00	4.917001e+01
6.354800000000098e+00	4.916756e+01
6.355100000000098e+00	4.916512e+01
6.355400000000098e+00	4.916266e+01
6.355700000000098e+00	4.916022e+01
6.356000000000098e+00	4.915777e+01
6.356300000000099e+00	4.915532e+01
6.356600000000099e+00	4.915287e+01
6.356900000000099e+00	4.915042e+01
6.357200000000099e+00	4.914797e+01
6.357500000000099e+00	4.914553e+01
6.357800000000100e+00	4.914308e+01
6.358100000000100e+00	4.914063e+01
6.358400000000100e+00	4.913818e+01
6.358700000000100e+00	4.913573e+01
6.359000000000100e+00	4.913328e+01
6.359300000000101e+00	4.913084e+01
6.359600000000101e+00	4.912839e+01
6.359900000000101e+00	4.912595e+01
6.360200000000101e+00	4.912351e+01
6.360500000000101e+00	4.912106e+01
6.360800000000101e+00	4.911862e+01
6.361100000000102e+00	4.911617e+01
6.361400000000102e+00	4.911372e+01
6.361700000000102e+00	4.911127e+01
6.362000000000102e+00	4.910884e+01
6.362300000000102e+00	4.910639e+01
6.362600000000103e+00	4.910395e+01
6.362900000000103e+00	4.910150e+01
6.363200000000103e+00	4.909906e+01
6.363500000000103e+00	4.909661e+01
6.363800000000103e+00	4.909417e+01
6.364100000000104e+00	4.909172e+01
6.364400000000104e+00	4.908929e+01
6.364700000000104e+00	4.908685e+01
6.365000000000104e+00	4.908440e+01
6.365300000000104e+00	4.908196e+01
6.365600000000105e+00	4.907952e+01
6.365900000000105e+00	4.907707e+01
6.366200000000105e+00	4.907463e+01
6.366500000000105e+00	4.907219e+01
6.366800000000105e+00	4.906976e+01
6.367100000000105e+00	4.906731e+01
6.367400000000106e+00	4.906487e+01
6.367700000000106e+00	4.906243e+01
6.368000000000106e+00	4.905999e+01
6.368300000000106e+00	4.905755e+01
6.368600000000106e+00	4.905511e+01
6.368900000000107e+00	4.905268e+01
6.369200000000107e+00	4.905023e+01
6.369500000000107e+00	4.904780e+01
6.369800000000107e+00	4.904536e+01
6.370100000000107e+00	4.904292e+01
6.370400000000108e+00	4.904048e+01
6.370700000000108e+00	4.903805e+01
6.371000000000108e+00	4.903560e+01
6.371300000000108e+00	4.903317e+01
6.371600000000108e+00	4.903073e+01
6.371900000000108e+00	4.902830e+01
6.372200000000109e+00	4.902586e+01
6.372500000000109e+00	4.902343e+01
6.372800000000109e+00	4.902098e+01
6.373100000000109e+00	4.901855e+01
6.373400000000109e+00	4.901611e+01
6.373700000000110e+00	4.901368e+01
6.374000000000110e+00	4.901124e+01
6.374300000000110e+00	4.900881e+01
6.374600000000110e+00	4.900637e+01
6.374900000000110e+00	4.900394e+01
6.375200000000111e+00	4.900151e+01
6.375500000000111e+00	4.899907e+01
6.375800000000111e+00	4.899664e+01
6.376100000000111e+00	4.899420e+01
6.376400000000111e+00	4.899177e+01
6.376700000000112e+00	4.898934e+01
6.377000000000112e+00	4.898691e+01
6.377300000000112e+00	4.898447e+01
6.377600000000112e+00	4.898204e+01
6.377900000000112e+00	4.897960e+01
6.378200000000112e+00	4.897717e+01
6.378500000000113e+00	4.897474e+01
6.378800000000113e+00	4.897231e+01
6.379100000000113e+00	4.896988e+01
6.379400000000113e+00	4.896745e+01
6.379700000000113e+00	4.896501e+01
6.380000000000114e+00	4.896259e+01
6.380300000000114e+00	4.896016e+01
6.380600000000114e+00	4.895773e+01
6.380900000000114e+00	4.895529e+01
6.381200000000114e+00	4.895287e+01
6.381500000000115e+00	4.895044e+01
6.381800000000115e+00	4.894801e+01
6.382100000000115e+00	4.894558e+01
6.382400000000115e+00	4.894315e+01
6.382700000000115e+00	4.894072e+01
6.383000000000115e+00	4.893829e+01
6.383300000000116e+00	4.893587e+01
6.383600000000116e+00	4.893343e+01
6.383900000000116e+00	4.893101e+01
6.384200000000116e+00	4.892858e+01
6.384500000000116e+00	4.892616e+01
6.384800000000117e+00	4.892373e+01
6.385100000000117e+00	4.892130e+01
6.385400000000117e+00	4.891888e+01
6.385700000000117e+00	4.891644e+01
6.386000000000117e+00	4.891402e+01
6.386300000000118e+00	4.891160e+01
6.386600000000118e+00	4.890917e+01
6.386900000000118e+00	4.890675e+01
6.387200000000118e+00	4.890432e+01
6.387500000000118e+00	4.890190e+01
6.387800000000118e+00	4.889947e+01
6.388100000000119e+00	4.889705e+01
6.388400000000119e+00	4.889462e+01
6.388700000000119e+00	4.889220e+01
6.389000000000119e+00	4.888978e+01
6.389300000000119e+00	4.888735e+01
6.389600000000120e+00	4.888493e+01
6.389900000000120e+00	4.888250e+01
6.390200000000120e+00	4.888008e+01
6.390500000000120e+00	4.887766e+01
6.390800000000120e+00	4.887523e+01
6.391100000000121e+00	4.887282e+01
6.391400000000121e+00	4.887040e+01
6.391700000000121e+00	4.886797e+01
6.392000000000121e+00	4.886555e+01
6.392300000000121e+00	4.886313e+01
6.392600000000122e+00	4.886071e+01
6.392900000000122e+00	4.885828e+01
6.393200000000122e+00	4.885587e+01
6.393500000000122e+00	4.885345e+01
6.393800000000122e+00	4.885103e+01
